id,participant_id,q11_budget,completed_at
c741ed32-2af7-45de-a8dd-b637336c68ca,a9ea56d9-8f16-4706-8730-7759a9ae43ff,Over €800,2025-10-30 18:00:06.884165+00
93d40ef9-57bc-481b-a335-90b0197fa93c,8a704f7e-d8ff-41c4-9b3e-59fcd5f499cc,€150-299,2025-10-30 16:35:29.512813+00
0ddbcdf0-b051-4cd3-b705-2be77ed9ca77,e3906f27-0d64-4695-b478-d07d9f9944e2,€150-299,2025-10-30 16:27:23.191653+00
039f313a-b918-4ac4-92cc-07de39925d5a,0e8e279b-2364-4850-9f67-b682817f8378,€150-299,2025-10-29 21:09:38.500944+00
14ee629e-3bd9-442d-9a24-ea7cbe33a816,0e8e279b-2364-4850-9f67-b682817f8378,€150-299,2025-10-29 21:06:09.400479+00
4707a3eb-90c1-449e-9e7b-0f2d913953b5,a717cf8d-04fb-4d2e-9005-e3829b9705e3,€600-799,2025-10-29 12:07:18.230175+00
3b4b596b-6529-4451-b7ca-66370883aa50,5b4859df-ce8a-4d6c-976c-17e015c0ab03,Over €800,2025-10-29 09:57:08.646578+00
4f4ebee6-8b5d-4269-be58-fe246e1e1f5c,bc232730-8987-499f-ac01-65a3d46a68d4,Over €800,2025-10-29 09:57:06.989406+00
efaab644-1825-47bf-99ef-507356fd99b3,8f4c485a-b7af-4a2e-b44c-83007bd7020c,€600-799,2025-10-29 09:56:23.502779+00
6c2fa388-8e5b-465d-85d6-8ac2f608ba4f,1940263c-44df-4d4e-99cc-30f9f694a859,€600-799,2025-10-29 09:54:13.447408+00
91e8b37e-ed5d-43f3-b3cb-9cd93740effc,ad44d655-aa86-4cc8-a5ff-6e1687093ee0,€600-799,2025-10-29 09:52:33.208901+00
a9c3d6b8-2fa0-4306-b41a-a11d9a7317a3,4e51268f-ba0f-459a-a8c3-75a70cebbbeb,€450-599,2025-10-29 09:52:26.549429+00
bee5a7ea-d27e-4863-a739-00812da30c22,a8b5e575-2472-47c3-8623-fe5ad381b39c,Over €800,2025-10-29 09:52:25.531545+00
18be9950-a3f6-4985-8524-c8cb3843e534,8fa47522-bb1b-49c2-989b-d90581264c2e,Over €800,2025-10-29 09:51:56.204409+00
36e55ef5-b68c-467b-add8-e27caf317e46,14ff50af-72a9-4095-a217-88246441fe94,Over €800,2025-10-29 09:51:43.515248+00
72389862-6be5-481a-921c-f1a1e6008ed3,292cc3df-067b-4670-98da-afbf0b9839f6,€600-799,2025-10-29 09:49:51.484273+00
3396c85a-3eec-4d61-b005-e49a27315253,922bc86b-cd31-4f8c-8888-2478c91fbeeb,€300-449,2025-10-28 23:04:36.760973+00
0d3641c6-05be-4c5a-9d41-7f5a25941319,e755ba77-40fc-4737-b6f4-077633acb963,Over €800,2025-10-28 18:40:10.697223+00
8d088ea1-125c-4f12-9c03-09a3fc2b094a,416d5225-0175-4c9d-964c-2998e2d7acb1,€150-299,2025-10-28 17:59:49.279114+00
b430ff2f-d5ea-4948-84c8-e217b9b668a8,337cc878-f0b7-4807-9005-08dcc0228a6a,€450-599,2025-10-27 17:45:56.841079+00
e8ddc196-1d83-4494-a908-a235cfc6fced,193a0563-b869-4bbe-aa9e-d81bacf59a3e,€600-799,2025-10-27 16:21:43.600933+00
93e18b9b-f3b8-42b4-8c3b-befe5218d7d5,193a0563-b869-4bbe-aa9e-d81bacf59a3e,€600-799,2025-10-27 16:21:04.730274+00
b7864d32-a552-49de-b16a-77598e37e22c,41c0b6d2-f05f-4378-90a6-45c6fff68e44,Under €150,2025-10-27 16:06:28.861712+00
512bbbdc-f85a-49bc-8583-ff849bedb070,25040da2-2cce-4925-9fbd-855669f4cb23,€150-299,2025-10-27 15:47:05.93088+00
581c460b-6e5d-4b33-89cb-903e59b96273,328a652b-9ad2-4b70-ad1a-49a8f1fcc02d,Over €800,2025-10-27 14:38:53.624974+00
3a8b0d93-1d78-4fb6-8f6f-94bbba19764b,5210feaa-5c2a-4444-b912-dc52d88c72c5,Over €800,2025-10-27 13:12:39.294483+00
339bee13-e332-4902-8c7c-0067a70f09f2,b7a9b5f0-50fe-47ea-ac8a-f6ef1df7ba72,€300-449,2025-10-27 12:45:05.689584+00
cc7a9ad6-1b00-432d-9390-197fde919296,b43e4bd1-d8cb-4284-9079-1ff9f84146b4,€300-449,2025-10-27 12:32:58.905316+00
670336f5-2098-4b4e-a9ca-d1b8534c367b,b43e4bd1-d8cb-4284-9079-1ff9f84146b4,€300-449,2025-10-27 12:31:58.680969+00
5e9a3e58-5dd0-4897-b3a9-60815ef8b400,faab30af-69f5-4422-bab2-0387d01d8765,€300-449,2025-10-27 11:47:28.979411+00
621a917d-529c-4cbb-9bb0-75a4fa6ca276,5ce7762a-639c-456b-9482-8f3d2c2094f9,€600-799,2025-10-27 11:25:53.037655+00
50cae075-8123-4e3e-bfb1-6e0dfc280b53,bb7758ff-4018-4589-9209-4c9d1cfb3556,Over €800,2025-10-27 11:16:46.927694+00
0215db77-5b2c-435b-8b78-0573ca113810,52ff75e1-7e1d-449f-9351-5123c7108a6c,€300-449,2025-10-25 08:45:48.859353+00
5d2a04ec-901a-4c50-9f4f-1455d2ff859b,54f85d8d-cee9-4fb0-babc-124951e8bb0b,€600-799,2025-10-24 17:39:30.715123+00
