id,participant_id,session_start_time,session_end_time,session_duration_ms,record_created_at
472258f2-32d6-4e2a-9cfc-03ad7286cdec,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:10:00.116+00,2025-11-11 03:13:27.883+00,207767,2025-11-11 03:10:00.580739+00
c71d0c2e-2d85-42ad-9137-ef6763e476ad,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:08:52.092+00,,,2025-11-11 03:08:52.611909+00
2cef0477-cac5-4347-99e3-d7423a4da1ee,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:08:34.386+00,,,2025-11-11 03:08:34.955771+00
63811cc6-1a54-43b5-833a-643ad7b63843,548569b2-6aeb-4403-9dfe-4b84cd9cbf25,2025-11-10 22:31:13.062+00,2025-11-10 22:34:05.129+00,172067,2025-11-10 22:31:15.354882+00
cc3141fe-5251-4e05-ad50-f5ddf7a85542,548569b2-6aeb-4403-9dfe-4b84cd9cbf25,2025-11-10 22:30:47.912+00,,,2025-11-10 22:30:51.383185+00
b7727760-de89-4bed-89d8-e7f488e47070,b1215362-ebe0-4d15-b54b-5b79916c04f7,2025-11-10 21:30:48.341+00,2025-11-10 21:32:02.031+00,73690,2025-11-10 21:30:48.990107+00
7da30cad-a63d-4a3e-b13f-c2d3e4f77e48,e483224e-1a8b-49ed-8bd7-42e5478ff6b0,2025-11-10 16:24:41.637+00,2025-11-10 16:24:50.021+00,8384,2025-11-10 16:24:42.298194+00
43ce9258-5551-40f5-9b25-b4a599193921,e483224e-1a8b-49ed-8bd7-42e5478ff6b0,2025-11-10 16:23:53.642+00,2025-11-10 16:24:36.174+00,42532,2025-11-10 16:23:54.090379+00
5a5a8287-7387-483d-959b-090602a376e6,9e7360ab-bdd9-40a7-a7f1-83fa542060b0,2025-11-10 15:26:49.632+00,2025-11-10 15:27:12.076+00,22444,2025-11-10 15:26:46.713975+00
86a10304-13e4-47ce-9a0e-7b4d19215a66,1b76fc54-4a3b-44d3-a5b2-4211bebdb5d2,2025-11-10 13:55:54.134+00,,,2025-11-10 13:55:54.573682+00
327bda44-8a48-464c-81ae-89e5e53503a3,ca9b0948-8403-4218-8775-d36126f6cb02,2025-11-09 13:33:40.179+00,2025-11-09 13:33:45.384+00,5205,2025-11-09 13:33:40.510883+00
f494636b-1e51-4930-b710-47907bddf4bd,2c298a5e-7070-4fd7-a6fe-ff3907029e8c,2025-11-09 12:20:30.728+00,2025-11-09 12:44:19.59+00,1428862,2025-11-09 12:20:30.051064+00
e49f025b-2135-4e93-a135-75cc50c0e807,2c298a5e-7070-4fd7-a6fe-ff3907029e8c,2025-11-09 12:17:21.241+00,2025-11-09 12:20:11.844+00,170603,2025-11-09 12:17:20.522345+00
8927bea5-98e6-4000-96bb-6f094788a8ff,2c298a5e-7070-4fd7-a6fe-ff3907029e8c,2025-11-09 12:17:00.957+00,,,2025-11-09 12:17:00.289318+00
a459d30e-9cfc-4298-8206-3627cb22ffd7,21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:40:47.157+00,2025-11-08 13:42:10.27+00,83113,2025-11-08 13:40:47.68916+00
d7a88d75-d33c-49e3-b788-f4add96a3f10,21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:38:44.255+00,2025-11-08 13:40:26.056+00,101801,2025-11-08 13:38:44.747891+00
c3a6155c-4fbb-4985-a8d6-7ecbaf05fd9f,21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:31:16.945+00,2025-11-08 13:37:32.209+00,375264,2025-11-08 13:31:17.245212+00
beba6932-f885-4b91-8246-6b53af76e933,21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:28:24.701+00,,,2025-11-08 13:28:24.915928+00
4a897cfb-cf9a-4a9b-bb21-65c196879280,21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:25:23.247+00,,,2025-11-08 13:25:23.609109+00
d353a0cf-2fbd-4704-9d11-298f5c10071e,090b95b5-f52a-4e45-8665-1cc819388638,2025-11-07 15:05:23.118+00,2025-11-07 15:08:29.358+00,186240,2025-11-07 15:05:24.651553+00
5bdd84aa-7f71-4ced-83b6-251ca1d627df,47ead152-a4ca-406f-b621-4baca17ac0b0,2025-11-07 13:53:09.102+00,2025-11-07 13:53:14.231+00,5129,2025-11-07 13:53:09.839814+00
332994c7-11ee-41a6-a06d-80c91c346d45,dae39537-13a5-45a3-ae49-4dbd155f0de2,2025-11-07 13:53:04.802+00,2025-11-07 13:53:06.463+00,1661,2025-11-07 13:53:05.224653+00
cdd3f7ba-53d2-4532-a6d8-fd43d31f7c81,157bcbd1-0270-41ee-af9a-4211ed21ea7c,2025-11-07 13:09:45.144+00,2025-11-07 13:10:45.482+00,60338,2025-11-07 13:09:44.662549+00
7f4ab62c-145d-46df-9e5f-11e9026e5525,95a96e83-18a8-47ad-919e-faee2ccf6d1d,2025-11-07 13:07:47.154+00,2025-11-07 13:08:09.478+00,22324,2025-11-07 13:07:48.388955+00
401a765e-2d8c-46e7-87a4-8c03cc5231d5,95a96e83-18a8-47ad-919e-faee2ccf6d1d,2025-11-07 13:07:35.383+00,,,2025-11-07 13:07:36.613106+00
5f1393fc-8ee4-4b4d-8903-f7867db7001a,b4dc7adf-e8db-4728-b4e3-9581f9be6651,2025-11-06 16:07:38.685+00,2025-11-06 16:07:55.058+00,16373,2025-11-06 16:07:38.926691+00
1e8d8237-7abf-49ab-a914-40fe6e6750b0,b4dc7adf-e8db-4728-b4e3-9581f9be6651,2025-11-06 16:01:25.995+00,2025-11-06 16:07:03.29+00,337295,2025-11-06 16:01:26.045803+00
fc39a908-ad49-47e4-91b7-950b082a52b1,362abfda-95f5-4779-ae87-183a8cb959cd,2025-11-05 11:21:59.98+00,2025-11-05 11:22:06.57+00,6590,2025-11-05 11:22:01.764343+00
65747da5-b5b4-4d52-b271-c22d0377bc4a,362abfda-95f5-4779-ae87-183a8cb959cd,2025-11-05 10:28:23.563+00,,,2025-11-05 10:28:24.501701+00
56b0dccd-cc93-47f0-a86a-9c1f4cc07ccf,362abfda-95f5-4779-ae87-183a8cb959cd,2025-11-05 10:09:57.854+00,,,2025-11-05 10:09:59.329741+00
2b5d7e14-cf32-4fd9-98bb-9839253e932d,362abfda-95f5-4779-ae87-183a8cb959cd,2025-11-04 23:34:24.524+00,,,2025-11-04 23:34:24.94712+00
0e8c5b66-02a4-45d0-a17d-31cf58300e8c,18b17697-3a40-4604-ba57-75c836a01401,2025-11-04 17:32:32.083+00,2025-11-04 17:34:10.53+00,98447,2025-11-04 17:32:31.917777+00
6d8f681b-b888-4116-bc89-ac8f64669194,bfa88b12-3ef7-44b4-b63a-edfae1b18d71,2025-11-04 16:19:55.492+00,2025-11-04 16:19:57.587+00,2095,2025-11-04 16:19:56.365779+00
555cca06-2445-4366-b77f-9c22c54c6f29,25b4d886-f5c7-461e-864f-52ea2e3c01b7,2025-11-04 16:18:35.71+00,2025-11-04 16:18:57.901+00,22191,2025-11-04 16:18:39.628365+00
dbb650ad-977d-4ac1-932e-16eb5ec51f84,25b4d886-f5c7-461e-864f-52ea2e3c01b7,2025-11-04 16:15:39.373+00,,,2025-11-04 16:15:40.270434+00
79f69266-bff9-4754-82cc-9af88fe0f2aa,25b4d886-f5c7-461e-864f-52ea2e3c01b7,2025-11-04 16:14:38.647+00,,,2025-11-04 16:14:39.491263+00
14796b0b-4efb-46bf-beab-e710bdee0a49,bf56d3db-8489-45ed-9e06-f24f499e0bc8,2025-11-03 21:13:31.095+00,,,2025-11-03 21:13:31.418788+00
cb1cf152-c4df-4000-804d-3d6686186a81,1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 21:04:43.443+00,2025-11-03 21:04:47.341+00,3898,2025-11-03 21:04:43.843249+00
db7b2b04-09be-44f7-b8f7-9728d862a878,1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 21:02:02.146+00,2025-11-03 21:02:16.01+00,13864,2025-11-03 21:02:02.864605+00
44de88e7-fcb8-4f50-b59b-29027c378f4c,1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 20:52:36.632+00,2025-11-03 20:58:25.37+00,348738,2025-11-03 20:52:36.755519+00
64576bd3-a0e5-4e72-9360-1a3c788c2482,1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 20:47:51.9+00,2025-11-03 20:52:15.314+00,263414,2025-11-03 20:47:51.915959+00
6a7d553f-6007-4dcc-8d95-f7fcfc0d1f2d,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:44:13.304+00,2025-11-03 20:44:14.225+00,921,2025-11-03 20:44:13.927065+00
2dc4d1f9-8652-4df1-85c1-080eb77aab98,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:43:57.292+00,,,2025-11-03 20:43:58.076172+00
c2eac99d-706f-4098-8cec-2ebfc93d4662,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:41:23.935+00,2025-11-03 20:41:24.94+00,1005,2025-11-03 20:41:24.552687+00
ccf9d736-58b3-4817-9425-cb3bf422d661,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:41:13.94+00,,,2025-11-03 20:41:15.074756+00
cab28584-f1ab-4f16-80b9-a72fd65d7709,a7128b4a-e209-487c-844d-c485ecac85ec,2025-11-03 20:40:12.84+00,2025-11-03 20:43:06.979+00,174139,2025-11-03 20:40:14.101203+00
4cd9056e-b1a9-488b-82dc-64038a4a5c49,a7128b4a-e209-487c-844d-c485ecac85ec,2025-11-03 20:40:12.84+00,2025-11-03 20:43:03.241+00,170401,2025-11-03 20:43:07.961499+00
6aa8c94a-060d-4f51-b2c6-e6133367ac54,a7128b4a-e209-487c-844d-c485ecac85ec,2025-11-03 20:38:38.91+00,2025-11-03 20:40:02.893+00,83983,2025-11-03 20:38:39.113154+00
756ffc05-545e-41e3-b989-21fad2c7abb1,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:38:31.22+00,2025-11-03 20:38:38.592+00,7372,2025-11-03 20:38:31.813013+00
7e7fb839-63db-48c1-87fc-1330fd85a8ef,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:38:18.532+00,2025-11-03 20:38:26.682+00,8150,2025-11-03 20:38:19.276771+00
aa553b59-aff5-45b7-b132-c96b1b94f1ea,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:38:18.532+00,2025-11-03 20:38:27.399+00,8867,2025-11-03 20:38:28.052817+00
51fbf12a-1c9b-4504-ad2b-ec3a8371c6ee,a543481c-04cb-4b98-a616-eaf896f1df99,2025-11-03 18:26:10.828+00,2025-11-03 18:26:31.137+00,20309,2025-11-03 18:26:11.441267+00
3b420210-d708-435f-bd62-7b4256e8b40e,cb9660a8-d526-4241-8700-235ce3e07153,2025-11-03 18:01:11.521+00,2025-11-03 18:02:21.784+00,70263,2025-11-03 18:00:27.028435+00
5b32aebc-eb81-46b7-a1e5-ccb373c50d86,cb9660a8-d526-4241-8700-235ce3e07153,2025-11-03 17:57:33.275+00,2025-11-03 18:00:27.525+00,174250,2025-11-03 17:56:44.322429+00
bff32f3c-ca24-45dc-8fd1-9e66bef6deeb,386be8d7-6771-4885-8745-e30399b113d0,2025-11-03 16:15:04.861+00,2025-11-03 16:18:47.225+00,222364,2025-11-03 16:15:05.666955+00
d917dfbc-0523-478d-9553-9c292ad6c515,386be8d7-6771-4885-8745-e30399b113d0,2025-11-03 16:15:04.861+00,2025-11-03 16:18:43.745+00,218884,2025-11-03 16:18:49.777865+00
b57772ed-2c53-4cc8-873d-fc3a7c481967,65b3eb27-49b3-4605-b774-276b013b86af,2025-11-02 19:21:05.192+00,2025-11-02 19:27:39.917+00,394725,2025-11-02 19:21:05.531488+00
d95181cc-971e-456e-b759-a6b273d632f8,a5192e43-ba28-42e5-84ef-bae523f81e89,2025-10-31 16:16:57.439+00,,,2025-10-31 16:16:57.830379+00
8efae055-b057-4a2e-8ed3-a769963e357d,93f5f60a-cfa4-474d-b6e2-c6b860392ea2,2025-10-31 14:59:56.545+00,,,2025-10-31 14:59:54.572098+00
a3e82422-2beb-479b-a01f-a7255a6b0a1c,93f5f60a-cfa4-474d-b6e2-c6b860392ea2,2025-10-31 14:54:35.509+00,2025-10-31 14:55:04.921+00,29412,2025-10-31 14:54:33.307743+00
113b7b62-9fea-4b8a-bc59-65a56fafae7c,e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:37:38.698+00,2025-10-31 14:39:42.636+00,123938,2025-10-31 14:37:39.53774+00
cac1820b-ae4c-448d-a2e9-2f305c6a0ea9,e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:34:54.033+00,2025-10-31 14:37:21.381+00,147348,2025-10-31 14:34:54.839927+00
84f301c5-3ab7-4111-8908-b7c62ca9af38,e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:32:43.001+00,2025-10-31 14:34:36.741+00,113740,2025-10-31 14:32:43.992406+00
069de92e-1c6c-4e82-8734-12f4ca24b4b6,e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:28:52.596+00,2025-10-31 14:32:07.073+00,194477,2025-10-31 14:28:53.169282+00
adcb694f-12f0-469c-bfaa-34a0c3019dc7,a65764e7-9c2f-4219-aa12-fd54da7bf875,2025-10-31 14:20:03.706+00,2025-10-31 14:29:11.106+00,547400,2025-10-31 14:20:04.019855+00
e3b8d3c1-e4f7-49bd-b0cc-17fed9bfa165,145a5e3a-5d68-4457-9cc1-eaffd6662734,2025-10-31 14:11:26.098+00,2025-10-31 14:12:44.327+00,78229,2025-10-31 14:11:26.951435+00
9c32baf8-4c01-4caf-a1c5-e8e05323fdcf,145a5e3a-5d68-4457-9cc1-eaffd6662734,2025-10-31 14:08:54.546+00,2025-10-31 14:10:36.68+00,102134,2025-10-31 14:08:55.307388+00
7c261505-2a50-4816-9b00-921453f81869,145a5e3a-5d68-4457-9cc1-eaffd6662734,2025-10-31 14:01:24.845+00,,,2025-10-31 14:01:25.241574+00
ab98bf2b-2b39-44d8-950c-fc72ffc23135,de565c32-62e7-4659-92f7-bfd80fc0a61c,2025-10-31 12:42:10.932+00,2025-10-31 12:47:23.384+00,312452,2025-10-31 12:42:10.67714+00
edb8ac9a-0aee-4ebd-a57a-e0b4d69efb6d,248c1f6f-3b38-4411-a85c-8040a5a74f4d,2025-10-30 23:09:59.046+00,2025-10-30 23:10:03.891+00,4845,2025-10-30 23:10:01.854814+00
5c8ec0b1-b5ae-48c2-b862-b6bc4ad82533,248c1f6f-3b38-4411-a85c-8040a5a74f4d,2025-10-30 23:06:39.369+00,,,2025-10-30 23:06:40.413724+00
313b782a-35cb-45f6-a856-a1bbfde9fbe1,6e109541-c2ae-46ea-827a-edf44d67660e,2025-10-30 20:49:18.025+00,2025-10-30 20:49:51.225+00,33200,2025-10-30 20:49:18.398242+00
8be36f88-27de-44c8-bcd4-802f0cb9b421,6e109541-c2ae-46ea-827a-edf44d67660e,2025-10-30 20:49:08.929+00,2025-10-30 20:49:14.788+00,5859,2025-10-30 20:49:09.182046+00
ad6b77d9-14fe-4a0e-b5c9-8a97a2b955b2,ca0c9bac-e5be-4d79-af83-2c5358af9657,2025-10-30 20:08:56.63+00,2025-10-30 20:09:11.105+00,14475,2025-10-30 20:08:56.915356+00
af9e0628-770e-4ca7-be56-7bb90463dc2e,5f62d87d-4912-454b-94d1-309c26c16b08,2025-10-30 19:22:14.585+00,2025-10-30 19:23:45.403+00,90818,2025-10-30 19:22:15.02126+00
8c878bd6-f894-4426-a690-fa0712e63f2f,a9ea56d9-8f16-4706-8730-7759a9ae43ff,2025-10-30 18:00:06.97+00,2025-10-30 18:00:12.888+00,5918,2025-10-30 18:00:07.26767+00
e1913c58-04ff-4d4a-9788-a6f0d9e2d4af,8a704f7e-d8ff-41c4-9b3e-59fcd5f499cc,2025-10-30 16:35:28.994+00,2025-10-30 16:46:18.797+00,649803,2025-10-30 16:35:29.987691+00
e379c5e4-47ff-49ea-a926-ae737e3258be,e3906f27-0d64-4695-b478-d07d9f9944e2,2025-10-30 16:27:22.679+00,2025-10-30 16:32:05.931+00,283252,2025-10-30 16:27:23.842839+00
c7e5b69b-8bcb-43fc-9400-45b8909dcb81,0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:40:08.736+00,2025-10-29 21:40:54.311+00,45575,2025-10-29 21:40:06.445007+00
548b5c89-9290-4c99-9657-2d4f63ace425,0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:36:31.687+00,2025-10-29 21:37:07.222+00,35535,2025-10-29 21:36:29.348206+00
1cdb5318-1efe-4560-b0cc-4db3147a6f10,0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:36:17.392+00,2025-10-29 21:36:21.823+00,4431,2025-10-29 21:36:15.094809+00
b2fbefeb-0a6f-489a-adff-31fb082277a1,0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:09:41.332+00,2025-10-29 21:36:08.767+00,1587435,2025-10-29 21:09:38.773641+00
ab7f6403-5501-4491-b74a-453f6a3dbadb,0e8e279b-2364-4850-9f67-b682817f8378,2025-10-29 21:06:12.258+00,,,2025-10-29 21:06:09.735897+00
12f82026-fab8-43fe-acc5-ce340a4ec23c,a717cf8d-04fb-4d2e-9005-e3829b9705e3,2025-10-29 12:07:18.178+00,,,2025-10-29 12:07:18.826085+00
b79518ac-b452-4adb-a2b7-8263ccd659c0,5b4859df-ce8a-4d6c-976c-17e015c0ab03,2025-10-29 09:57:08.694+00,2025-10-29 09:57:11.551+00,2857,2025-10-29 09:57:08.884761+00
0447c603-def6-4ecf-bfeb-17250a3ba48f,bc232730-8987-499f-ac01-65a3d46a68d4,2025-10-29 09:57:07.06+00,2025-10-29 09:57:11.685+00,4625,2025-10-29 09:57:07.288315+00
58330b60-2890-49e6-ad33-15244b5d5fcf,8f4c485a-b7af-4a2e-b44c-83007bd7020c,2025-10-29 09:56:23.562+00,2025-10-29 09:56:25.811+00,2249,2025-10-29 09:56:23.892118+00
9815229c-f566-4fb4-9def-276cc279aebb,1940263c-44df-4d4e-99cc-30f9f694a859,2025-10-29 09:54:13.488+00,2025-10-29 09:54:57.114+00,43626,2025-10-29 09:54:13.833628+00
9fdf7779-706e-4caf-8b70-1aa317d714ac,ad44d655-aa86-4cc8-a5ff-6e1687093ee0,2025-10-29 09:52:33.264+00,2025-10-29 09:52:43.617+00,10353,2025-10-29 09:52:33.549287+00
a9b3c618-ce54-4d46-85a3-cf49c365a945,4e51268f-ba0f-459a-a8c3-75a70cebbbeb,2025-10-29 09:52:26.429+00,,,2025-10-29 09:52:26.84797+00
033bf36b-1f2e-4f61-bed1-25f717d05581,a8b5e575-2472-47c3-8623-fe5ad381b39c,2025-10-29 09:52:25.454+00,,,2025-10-29 09:52:25.832967+00
a50f3d6d-1a29-40b9-8e63-1dcbc6fca59d,8fa47522-bb1b-49c2-989b-d90581264c2e,2025-10-29 09:51:56.2+00,2025-10-29 09:52:22.239+00,26039,2025-10-29 09:51:56.588532+00
ecaa8977-6419-4f3e-a908-7fb013cc2ed9,14ff50af-72a9-4095-a217-88246441fe94,2025-10-29 09:51:43.854+00,2025-10-29 09:51:48.689+00,4835,2025-10-29 09:51:44.163398+00
bf6cbe8a-5a24-4e47-936b-ff7062cf0242,292cc3df-067b-4670-98da-afbf0b9839f6,2025-10-29 09:49:51.635+00,2025-10-29 09:49:53.442+00,1807,2025-10-29 09:49:51.931845+00
5cb7511f-ff88-4770-930f-77e880f26761,922bc86b-cd31-4f8c-8888-2478c91fbeeb,2025-10-28 23:18:28.427+00,2025-10-28 23:19:08.492+00,40065,2025-10-28 23:18:29.198111+00
d167c53b-4124-42e5-aa44-f430d61e9b1f,922bc86b-cd31-4f8c-8888-2478c91fbeeb,2025-10-28 23:04:36.469+00,2025-10-28 23:17:13.92+00,757451,2025-10-28 23:04:37.079348+00
ee9c72fe-6fd0-445a-8213-a3d64ab04f4e,e755ba77-40fc-4737-b6f4-077633acb963,2025-10-28 18:45:14.949+00,,,2025-10-28 18:45:15.60148+00
57c62ee2-6c94-43cd-99cc-750608ce6b49,e755ba77-40fc-4737-b6f4-077633acb963,2025-10-28 18:42:55.087+00,2025-10-28 18:44:01.302+00,66215,2025-10-28 18:42:55.649443+00
94c54e40-1f59-4a5a-a0cb-aeaa14945cd3,e755ba77-40fc-4737-b6f4-077633acb963,2025-10-28 18:40:11.171+00,2025-10-28 18:42:22.834+00,131663,2025-10-28 18:40:11.560975+00
